package,version,need,alternatives,owner,maintenance,vulnerability_response,license,architectures,version_pin,acquisition,transitives,update_path,attack_surface,base_image,classification,replacement_trigger
libc,0.2.189,fuzz build syscall bindings,Replacing it forks locked fuzz tooling,Kordian Zagaja,Locked fuzz graph review,Review RustSec and libc releases,MIT OR Apache-2.0,x86_64 and aarch64 hosts,exact fuzz lock version and checksum,crates.io sparse index,none,update with fuzz graph,CI build tooling,no,Retain,n/a
libfuzzer-sys,0.4.9,libFuzzer bindings for M3 hostile parsers,Custom fuzz engine is unnecessary and riskier,Kordian Zagaja,Exact fuzz lock and upstream review,Review RustSec and Rust fuzz project releases,MIT OR Apache-2.0,x86_64 and aarch64 hosts,exact fuzz lock version and checksum,crates.io sparse index,arbitrary cc,update with cargo-fuzz,CI parser fuzzing,no,Retain,n/a
r-efi,6.0.0,inactive EFI bindings in getrandom fuzz closure,Replacing it forks locked build tooling,Kordian Zagaja,Locked fuzz graph review,Review RustSec and upstream advisories,MIT OR Apache-2.0,lockfile only,exact fuzz lock version and checksum,crates.io sparse index,none,update with getrandom,inactive target metadata,no,Retain,n/a
Linux,6.18.42,kernel and native EFI stub,Userspace cannot replace kernel mechanisms,Kordian Zagaja,Pin stable release and review CVEs,Review kernel CVEs and stable announcements,GPL-2.0-only,x86_64 and aarch64,exact version and SHA-256,policy/sources.lock URL and checksum,upstream kernel source tree,review stable update and both target acceptance,kernel and boot boundary,yes,Retain,n/a
QEMU,10.0,native architecture boot acceptance,No existing native emulator facility,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker and upstream advisories,GPL-2.0-only,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and rerun both guests,CI emulator,no,Retain,n/a
EDK2,2025.02,UEFI firmware for QEMU,No existing test firmware,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker and TianoCore advisories,BSD-2-Clause-Patent,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and rerun boot/Secure Boot tests,CI firmware,no,Retain,n/a
gdisk,1.0.10,GPT image creation and inspection,Small local GPT writer is riskier than mature tooling,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker and upstream releases,GPL-2.0-only,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and image acceptance,CI image tooling,no,Retain,n/a
mtools,4.0.48,unprivileged FAT creation and inspection,No admitted FAT image writer,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker and upstream releases,GPL-3.0-or-later,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and ESP inspection,CI image tooling,no,Retain,n/a
dosfstools,4.2,FAT integrity inspection,mtools does not supply independent fsck,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker and upstream releases,GPL-3.0-only,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and ESP integrity tests,CI image tooling,no,Retain,n/a
GNU build tools,12.12,Linux build prerequisites,Required by upstream Linux build,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker,GPL-3.0-or-later,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and kernel builds,CI build tooling,no,Retain,n/a
bc,1.07.1,Linux build arithmetic,Required by upstream Linux build,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker,GPL-3.0-or-later,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and kernel builds,CI build tooling,no,Retain,n/a
bison,3.8.2,Linux configuration parser build,Required by upstream Linux build,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker,BSD-2-Clause,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and kernel builds,CI build tooling,no,Retain,n/a
flex,2.6.4,Linux lexer build,Required by upstream Linux build,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker,BSD-2-Clause,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and kernel builds,CI build tooling,no,Retain,n/a
OpenSSL,3.5,Linux host build prerequisite,Required by upstream Linux host tools,Kordian Zagaja,Debian snapshot updates,Review Debian/OpenSSL security advisories,Apache-2.0,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and kernel builds,CI build tooling,no,Retain,n/a
elfutils,0.192,Linux ELF build prerequisite,Required by upstream Linux build,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker,GPL-2.0-or-later,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and kernel builds,CI build tooling,no,Retain,n/a
pahole,1.30,Linux BTF build prerequisite,Required by upstream Linux build,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker,GPL-2.0-only,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and kernel builds,CI build tooling,no,Retain,n/a
cpio,2.15,Linux initramfs generator prerequisite,Required by upstream Linux initramfs build,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker,GPL-3.0-or-later,x86_64 and aarch64,Debian snapshot version,Debian snapshot repository,Debian package closure,update snapshot and initramfs inspection,CI build tooling,no,Retain,n/a
cryptsetup,2:2.7.5-2,LUKS2 format and dm-crypt activation engine,Custom disk cryptography is forbidden,Kordian Zagaja,Debian snapshot updates,Review Debian and cryptsetup advisories,GPL-2.0-or-later,x86_64 and aarch64,Debian snapshot package version,Debian snapshot repository,Debian package closure,update snapshot and disposable encrypted-data tests,encrypted data boundary,yes,Retain,n/a
e2fsprogs,1.47.2-3+b3,ext4 creation inspection and explicit recovery repair,Kernel filesystem has no userspace mkfs/fsck,Kordian Zagaja,Debian snapshot updates,Review Debian and upstream advisories,GPL-2.0-only,x86_64 and aarch64,Debian snapshot package version,Debian snapshot repository,Debian package closure,update snapshot and disposable recovery tests,user data filesystem boundary,yes,Retain,n/a
OpenSSL CLI,3.5.6-1~deb13u2,Linux build and disposable signing test prerequisite,Runtime verification now uses ring,Kordian Zagaja,Debian snapshot updates,Review Debian and OpenSSL advisories,Apache-2.0,x86_64 and aarch64,Debian snapshot package version,Debian snapshot repository,Debian package closure,update snapshot and rebuild both targets,build and test tooling only,no,Retain,n/a
curl,8.14.1-2+deb13u4,checksum-pinned Linux source acquisition,Runtime transport now uses ureq,Kordian Zagaja,Debian snapshot updates,Review Debian and curl advisories,curl,x86_64 and aarch64,Debian snapshot package version,Debian snapshot repository,Debian package closure,update snapshot and verify source hashes,build tooling only,no,Retain,n/a
sbsigntool,0.9.4-3.2,PE COFF Secure Boot signing and inspection,No admitted signing tool exists,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker,GPL-3.0-only,x86_64 and aarch64,Debian snapshot package version,Debian snapshot repository,Debian package closure,update snapshot and disposable-key tests,release build tooling,no,Retain,n/a
efitools,1.9.2-3.5,test Secure Boot key enrollment and authenticated variables,No admitted firmware-variable test tool exists,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker,GPL-2.0-only,x86_64 and aarch64,Debian snapshot package version,Debian snapshot repository,Debian package closure,update snapshot and rotation/revocation tests,CI firmware tooling,no,Retain,n/a
python3-virt-firmware,24.11-2,offline disposable EDK2 variable-store editing,efitools cannot apply updates to an offline variable store,Kordian Zagaja,Debian snapshot updates,Review Debian security tracker and upstream releases,GPL-2.0-or-later,x86_64 and aarch64 hosts,exact Debian package version,Debian snapshot repository,python3-cryptography python3-importlib-resources python3-pefile,update snapshot and rerun Secure Boot rotation tests,CI firmware tooling,no,Retain,n/a
base64,0.22.1,HTTP encoding through ureq,Replacing it forks admitted protocol code,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,ureq closure,update with ureq and test both targets,untrusted HTTP metadata,yes,Retain,n/a
bytes,1.12.1,HTTP byte buffers,Replacing it forks admitted protocol code,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,http closure,update with ureq and test both targets,untrusted HTTP bytes,yes,Retain,n/a
cc,1.4.2,build ring native sources,ring requires maintained build integration,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,ring build closure,update with ring and rebuild both targets,build script,no,Retain,n/a
cfg-if,1.0.4,target selection for ring,Replacing it forks admitted dependencies,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,ring closure,update with ring and rebuild both targets,target selection,yes,Retain,n/a
find-msvc-tools,0.1.10,cc tool discovery metadata,Required by locked cc,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,lockfile only on Linux targets,exact lockfile version and checksum,crates.io sparse index,cc build closure,update with cc and rebuild both targets,build discovery,no,Retain,n/a
getrandom,0.2.17,system entropy for ring,Custom entropy plumbing is security sensitive,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64 Linux,exact lockfile version and checksum,crates.io sparse index,ring closure,update with ring and test both targets,system entropy syscall,yes,Retain,n/a
http,1.5.0,typed HTTP messages,Hand parsing HTTP is prohibited,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,ureq closure,update with ureq and test transport,untrusted HTTP metadata,yes,Retain,n/a
httparse,1.10.1,HTTP response parsing,Hand parsing HTTP is prohibited,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,ureq protocol closure,update with ureq and test malformed input,untrusted HTTP bytes,yes,Retain,n/a
itoa,1.0.18,HTTP integer formatting,Replacing it forks admitted code,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,http closure,update with http and test both targets,integer formatting,yes,Retain,n/a
libc,0.2.184,termios mlock memfd and descriptor syscalls,Stdlib lacks these Linux interfaces,Kordian Zagaja,Exact pin and upstream review,Review RustSec and libc releases,MIT OR Apache-2.0,x86_64 and aarch64 Linux,exact workspace and lockfile pin,crates.io sparse index,direct data tool dependency,review update and test both targets,privileged syscall ABI,yes,Retain,n/a
log,0.4.33,rustls and ureq logging facade,Replacing it forks admitted dependencies,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,ureq and rustls closure,update with ureq and audit logs,transport diagnostics,yes,Retain,n/a
once_cell,1.21.4,rustls initialization,Replacing it forks admitted TLS code,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,rustls closure,update with rustls and test both targets,process initialization,yes,Retain,n/a
percent-encoding,2.3.2,HTTP URI encoding,Hand URI handling is error prone,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,ureq closure,update with ureq and test redirects,untrusted URI bytes,yes,Retain,n/a
ring,0.17.14,RSA-PSS SHA-256 and rustls cryptography,Custom cryptography is prohibited,Kordian Zagaja,Exact pin and upstream review,Review RustSec and ring releases,Apache-2.0 AND ISC,x86_64 and aarch64 Linux musl,exact workspace and lockfile pin,crates.io sparse index,cc cfg-if getrandom libc untrusted,review update and native acceptance,signature and TLS cryptography,yes,Retain,n/a
rustls,0.23.43,TLS protocol implementation,Stdlib has no TLS and runtime OpenSSL was replaced,Kordian Zagaja,Locked release review,Review RustSec and rustls releases,Apache-2.0 OR ISC OR MIT,x86_64 and aarch64 Linux musl,exact lockfile version and checksum,crates.io sparse index,ring webpki pki-types subtle zeroize,update with ureq and HTTPS acceptance,untrusted TLS boundary,yes,Retain,n/a
rustls-pki-types,1.15.1,TLS certificate types,Replacing it forks admitted TLS code,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,rustls closure,update with rustls and HTTPS acceptance,certificate bytes,yes,Retain,n/a
rustls-webpki,0.103.13,TLS WebPKI verification,Custom certificate validation is prohibited,Kordian Zagaja,Locked release review,Review RustSec and webpki releases,ISC,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,ring pki-types untrusted,update with rustls and rejection tests,certificate verification,yes,Retain,n/a
shlex,2.0.1,cc build arguments,Required by locked cc,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,build host for both targets,exact lockfile version and checksum,crates.io sparse index,cc build closure,update with cc and rebuild both targets,build arguments,no,Retain,n/a
subtle,2.6.1,constant-time rustls primitives,Custom replacement is security sensitive,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,BSD-3-Clause,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,rustls closure,update with rustls and test both targets,cryptographic comparisons,yes,Retain,n/a
untrusted,0.9.0,bounded ring and webpki parsing,Custom parsing forks security code,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,ISC,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,ring and webpki closure,update with ring and malformed tests,signature and certificate bytes,yes,Retain,n/a
ureq,3.3.0,HTTPS range update transport with static roots,Stdlib has no TLS and custom HTTP is prohibited,Kordian Zagaja,Exact pin and upstream review,Review RustSec and ureq releases,MIT OR Apache-2.0,x86_64 and aarch64 Linux musl,exact workspace and lockfile pin,crates.io sparse index,rustls ureq-proto webpki-roots,review update and native acceptance,untrusted HTTPS responses,yes,Retain,n/a
ureq-proto,0.6.0,HTTP state machine,Hand protocol parsing is prohibited,Kordian Zagaja,Locked release review,Review RustSec and ureq releases,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,http httparse base64 log,update with ureq and transport tests,untrusted HTTP framing,yes,Retain,n/a
utf8-zero,0.8.1,UTF-8 handling through ureq,Replacing it forks admitted transport code,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,ureq closure,update with ureq and malformed tests,untrusted header text,yes,Retain,n/a
wasi,0.11.1+wasi-snapshot-preview1,getrandom target metadata,Inactive on supported Linux targets,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT,lockfile only on Linux targets,exact lockfile version and checksum,crates.io sparse index,getrandom target closure,update with getrandom and rebuild,inactive target bindings,no,Retain,n/a
webpki-roots,1.0.9,static Mozilla TLS roots,Host roots are mutable and not accepted,Kordian Zagaja,Locked release review,Review Mozilla trust and upstream releases,CDLA-Permissive-2.0,x86_64 and aarch64,exact lockfile version and checksum,crates.io sparse index,rustls-pki-types,review update and HTTPS acceptance,TLS trust roots,yes,Retain,n/a
windows-sys,0.52.0,ring target metadata,Inactive on supported Linux targets,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,lockfile only on Linux targets,exact lockfile version and checksum,crates.io sparse index,windows-targets closure,update with ring and rebuild,inactive target bindings,no,Retain,n/a
windows-targets,0.52.6,windows-sys target metadata,Inactive on supported Linux targets,Kordian Zagaja,Locked release review,Review RustSec and upstream advisories,MIT OR Apache-2.0,lockfile only on Linux targets,exact lockfile version and checksum,crates.io sparse index,Windows architecture packages,update with ring and regenerate lock,inactive target metadata,no,Retain,n/a
windows_aarch64_gnullvm,0.52.6,windows target metadata,Inactive on supported Linux targets,Kordian Zagaja,Locked release review,Review upstream advisories,MIT OR Apache-2.0,lockfile only,exact lockfile version and checksum,crates.io sparse index,windows-targets closure,update with windows-targets,inactive target metadata,no,Retain,n/a
windows_aarch64_msvc,0.52.6,windows target metadata,Inactive on supported Linux targets,Kordian Zagaja,Locked release review,Review upstream advisories,MIT OR Apache-2.0,lockfile only,exact lockfile version and checksum,crates.io sparse index,windows-targets closure,update with windows-targets,inactive target metadata,no,Retain,n/a
windows_i686_gnu,0.52.6,windows target metadata,Inactive on supported Linux targets,Kordian Zagaja,Locked release review,Review upstream advisories,MIT OR Apache-2.0,lockfile only,exact lockfile version and checksum,crates.io sparse index,windows-targets closure,update with windows-targets,inactive target metadata,no,Retain,n/a
windows_i686_gnullvm,0.52.6,windows target metadata,Inactive on supported Linux targets,Kordian Zagaja,Locked release review,Review upstream advisories,MIT OR Apache-2.0,lockfile only,exact lockfile version and checksum,crates.io sparse index,windows-targets closure,update with windows-targets,inactive target metadata,no,Retain,n/a
windows_i686_msvc,0.52.6,windows target metadata,Inactive on supported Linux targets,Kordian Zagaja,Locked release review,Review upstream advisories,MIT OR Apache-2.0,lockfile only,exact lockfile version and checksum,crates.io sparse index,windows-targets closure,update with windows-targets,inactive target metadata,no,Retain,n/a
windows_x86_64_gnu,0.52.6,windows target metadata,Inactive on supported Linux targets,Kordian Zagaja,Locked release review,Review upstream advisories,MIT OR Apache-2.0,lockfile only,exact lockfile version and checksum,crates.io sparse index,windows-targets closure,update with windows-targets,inactive target metadata,no,Retain,n/a
windows_x86_64_gnullvm,0.52.6,windows target metadata,Inactive on supported Linux targets,Kordian Zagaja,Locked release review,Review upstream advisories,MIT OR Apache-2.0,lockfile only,exact lockfile version and checksum,crates.io sparse index,windows-targets closure,update with windows-targets,inactive target metadata,no,Retain,n/a
windows_x86_64_msvc,0.52.6,windows target metadata,Inactive on supported Linux targets,Kordian Zagaja,Locked release review,Review upstream advisories,MIT OR Apache-2.0,lockfile only,exact lockfile version and checksum,crates.io sparse index,windows-targets closure,update with windows-targets,inactive target metadata,no,Retain,n/a
zeroize,1.8.2,credential and TLS secret wiping,Manual volatile wiping is less reviewable,Kordian Zagaja,Exact pin and upstream review,Review RustSec and zeroize releases,Apache-2.0 OR MIT,x86_64 and aarch64,exact workspace and lockfile pin,crates.io sparse index,direct data tool and rustls dependency,review update and test both targets,credential and TLS secret memory,yes,Retain,n/a
